商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格,商品介紹
EE4563,https://www.adidas.com/us/u_path-x-shoes/EE4563.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/3662a536a99e4b0588edaa3f0103ab88_9366/U_Path_X_Shoes_Purple_EE4563_01_standard.jpg",adidas U_Path X Shoes - Purple | adidas US,adidas,['Lifestyle'],W,85,"With a sleek feel and futuristic look, the U_Path shoe represents the next generation of track-inspired streetwear. These shoes come with a lightweight mesh upper. A leather heel cap adds luxe texture.egular fit Lace closure Mesh upper Textile lining; Rubber outsole Enjoy the comfort and performance of OrthoLite® sockliner; Lightweight EVA midsole Imported"
F34073,https://www.adidas.com/us/ultraboost-19-shoes/F34073.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/187ef8cb1fc64a279d97aa3b01355630_9366/Ultraboost_19_Shoes_White_F34073_01_standard.jpg",adidas Ultraboost 19 Shoes - White | adidas US,adidas,['Running'],W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
EF2508,https://www.adidas.com/us/americana-low-shoes/EF2508.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/087d3c85ea0b47309305a9f201416485_9366/Americana_Low_Shoes_White_EF2508_01_standard.jpg",adidas Americana Low Shoes - White | adidas US,adidas,['Lifestyle'],U,80,"One of adidas' first basketball shoes, the Americana was a staple for serious players. Today, these sneakers are a favorite for casual wear. A durable textile upper shows off leather and suede overlays, delivering classic hoops style in a comfortable, breathable design.ace closure Textile upper with leather and suede overlays Textile lining; Rubber outsole Imported"
EF3534,https://www.adidas.com/us/continental-vulc-shoes/EF3534.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/35b87f8f90384ab98c58aa8700c484a5_9366/Continental_Vulc_Shoes_White_EF3534_01_standard.jpg",adidas Continental Vulc Shoes - White | adidas US,adidas,['Lifestyle'],U,70,Lace up '80 fitness style. These low-profile shoes feature a pop of color on the tongue and heel cap for a throwback look. A mix of nubuck and smooth leather on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.ace closure Leather upper with abrasion-resistant suede toe cap Textile lining; Vulcanized rubber outsole Imported
EE4564,https://www.adidas.com/us/u_path-x-shoes/EE4564.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/60b4d9c70e584b30ae21aa4000a3a12f_9366/U_Path_X_Shoes_Blue_EE4564_01_standard.jpg",adidas U_Path X Shoes - Blue | adidas US,adidas,['Lifestyle'],W,85,"With a sleek feel and futuristic look, the U_Path shoe represents the next generation of track-inspired streetwear. These shoes come with a lightweight mesh upper. A leather heel cap adds luxe texture.egular fit Lace closure Mesh upper Textile lining; Rubber outsole Enjoy the comfort and performance of OrthoLite® sockliner; Lightweight EVA midsole Imported"
EE5507,https://www.adidas.com/us/gazelle-shoes/EE5507.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a71591c4155a4262932aaa780106e429_9366/Gazelle_Shoes_Yellow_EE5507_01_standard.jpg",adidas Gazelle Shoes - Yellow | adidas US,adidas,['Lifestyle'],U,80,"These shoes are a faithful reissue of the classic 1991 Gazelle. Authentic details like an ultra-soft suede upper, contrasting 3-Stripes and a T-shape toe recall early-'90s style. A metallic-gold logo completes the look.egular fit Lace closure Suede upper Textile lining; Rubber outsole Imported"
EE6465,https://www.adidas.com/us/ozweego-shoes/EE6465.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/31275e6301c14640818aaa480090eafd_9366/OZWEEGO_Shoes_Orange_EE6465_01_standard.jpg",adidas OZWEEGO Shoes - Orange | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
EE6095,https://www.adidas.com/us/sabalo-shoes/EE6095.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1286b1762be940478eccaa08016dabe4_9366/Sabalo_Shoes_White_EE6095_01_standard.jpg",adidas Sabalo Shoes - White | adidas US,adidas,['Lifestyle'],U,70,The design details of these shoes draw inspiration from the fisheye lens that's been used to capture some of skateboarding's most iconic moments. They feature a cushioned sockliner for all-day comfort and a durable canvas upper to hold up to regular park or street sessions. A vulcanized rubber outsole with a grippy tread pattern keeps you stuck to your board.egular fit Lace closure Canvas upper Vulcanized rubber outsole; Textile lining Cushioned sockliner Imported
EE7745,https://www.adidas.com/us/eqt-gazelle-shoes/EE7745.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8929094e9c4b40ba9d4daa790100d7dc_9366/EQT_Gazelle_Shoes_Black_EE7745_01_standard.jpg",adidas EQT Gazelle Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage design cues True to the archives Lightweight cushioning Inspired by the 1999 Equipment Gazelle, one of adidas' most famous running shoes Overlay details are authentic to the 1999 design EVA midsole offers all-day comfort Based on one of adidas' most famous running shoes, the 1999 Equipment Gazelle. This updated version fuses the archive design with modern details. The mesh and textile upper features textured leather overlays for an authentic '90s and early-'00s look.egular fit Lace closure Mesh and textile upper with leather overlays Textile lining; Rubber outsole Lightweight EVA midsole Imported"
FU7333,https://www.adidas.com/us/pulseboost-hd-shoes/FU7333.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/3aeb7718daf54a0e9d84aa3301258fb1_9366/Pulseboost_HD_Shoes_Black_FU7333_01_standard.jpg",adidas Pulseboost HD Shoes - Black | adidas US,adidas,"['Running', 'Training']",U,140,"Boost HD Adaptive Traxion Adapt Knit Boost Playlists Boost HD is engineered for more stability with the same best-in-class comfort and responsiveness Adaptive Traxion gives maximum grip to quickly change direction on any surface—because running should give you the freedom to explore Adapt Knit adjusts to any foot shape, giving you a personalized fit on the go New shoes. New tracks. Scan the QR code on Pulseboost HD to unlock an exclusive playlist We believe that feet deserve a runner's high, too. That's why the Pulseboost HD is sitting on an all-new Boost HD midsole that delivers more stability with the same crazy responsiveness and comfort on any surface. The streets are calling, let's go get it.egular fit Lace closure Adaptive knit textile upper with non-stretch zones for forefoot and midfoot support Textile lining; Continental™ Rubber outsole for extraordinary traction in wet and dry conditions High-density Boost for a responsive and stable feel Sock-like construction hugs the foot Scan the QR code to unlock an exclusive running playlist Weight: 12 ounces (size 9) Midsole drop: 8 mm (heel: 18 mm, forefoot: 10 mm) Reflective forefoot stability insert for lateral support Imported"
EE6999,https://www.adidas.com/us/ozweego-shoes/EE6999.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/86dbbccdb3db4f5f846eaa7600ee8b42_9366/OZWEEGO_Shoes_Black_EE6999_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
C77124,https://www.adidas.com/us/superstar-shoes/C77124.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/d285610e30664900b857a7fa00ed0201_9366/Superstar_Shoes_White_C77124_01_standard.jpg",adidas Superstar Shoes - White | adidas US,adidas,['Lifestyle'],U,80,The adidas Superstar sneaker reigns supreme. The fan favorite launched in 1969 and quickly lived up to its name as NBA players laced into the now-famous shell-toe design. These men's shoes come in full grain leather with serrated 3-Stripes and a rubber cupsole.ull grain leather upper Rubber shell toe Synthetic leather lining Herringbone-pattern rubber cupsole Imported
G27706,https://www.adidas.com/us/continental-80-shoes/G27706.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8df5ab4346d7475ebb08a91500a047d3_9366/Continental_80_Shoes_White_G27706_01_standard.jpg",adidas Continental 80 Shoes - White | adidas US,adidas,['Lifestyle'],U,80,"Vintage nostalgia Classic comfort Split cupsole  A logo window next to the laces recalls '80s styles French terry lining for a soft feel and a throwback look A split rubber cupsole with an EVA insert provides a comfortable, flexible feel Steeped in nostalgia, the Continental 80 captures the retro look of indoor sneakers from the early 1980s. The leather shoes feature a swooping two-tone stripe and a distinctive split rubber cupsole that's built for a comfortable, flexible feel.egular fit Lace closure Full grain leather upper Split rubber cupsole; French terry lining Enjoy the comfort and performance of OrthoLite® sockliner; Lightweight EVA midsole insert Soft feel Imported"
EF2378,https://www.adidas.com/us/pharrell-williams-x-adidas-solar-hu-shoes/EF2378.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5f2e6a6d52544b118388aa4f010ff35a_9366/Pharrell_Williams_x_adidas_Solar_Hu_Shoes_White_EF2378_01_standard.jpg",adidas Pharrell Williams x adidas Solar Hu Shoes - White | adidas US,adidas,['Running'],U,160,adidas teamed up with Pharrell Williams to create these running shoes that celebrate the world's many vibrant hues. They have a breathable textile upper and responsive cushioning for an energized ride. A stability rail helps guide the foot through the gait cycle.egular fit Lace closure Textile upper Rubber outsole; Textile lining Responsive Boost midsole Weight: 9.8 ounces (size US 9) Midsole drop: 10 mm (heel: 32 mm / forefoot: 22 mm) Stabilizing Torsion System; Fitcounter heel for unrestricted fit; Stabilizing Solar Propulsion Rail Imported
EE7004,https://www.adidas.com/us/ozweego-shoes/EE7004.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9d233af0a79646d5a23caa3e00b72f52_9366/OZWEEGO_Shoes_Black_EE7004_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact The OZWEEGO recasts elements from innovative '90s and early-'00s running designs that offered superior shock absorption. These shoes are made for today's streets in a mix of mesh, suede and smooth TPU. They feature targeted support in the forefoot and heel to deliver a supremely comfortable ride.ypically fits a half size small: Choose half size up from your regular size Lace closure Mesh, suede and TPU upper Rubber outsole; Textile lining Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning True to size; Soft and lightweight Imported"
EE5696,https://www.adidas.com/us/ozweego-shoes/EE5696.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/d20e455b7c734cf98be6aa4700dc7fa4_9366/OZWEEGO_Shoes_Black_EE5696_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Hugs the foot; Soft and lightweight Imported"
EE6464,https://www.adidas.com/us/ozweego-shoes/EE6464.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/26957f977ecf4119879caa7600ff0f1b_9366/OZWEEGO_Shoes_White_EE6464_01_standard.jpg",adidas OZWEEGO Shoes - White | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
EE5359,https://www.adidas.com/us/continental-80-shoes/EE5359.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a1967fdc00cf4c7fb8d7aaa000e47237_9366/Continental_80_Shoes_White_EE5359_01_standard.jpg",adidas Continental 80 Shoes - White | adidas US,adidas,['Lifestyle'],U,100,"These Continental 80 shoes are a faithful remake of an archive fitness and tennis style. A supple leather upper and a double cupsole stay true to the original design. Three straps replace the laces to give them a retro vibe. A monochromatic color creates a clean, minimalist look.egular fit Hook-and-loop closure Leather upper Textile lining; Rubber cupsole Three-quarter EVA midsole Soft feel Imported"
G54015,https://www.adidas.com/us/ultraboost-19-shoes/G54015.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c0f8cc83fcea4685beb9aa390158ea36_9366/Ultraboost_19_Shoes_White_G54015_01_standard.jpg",adidas Ultraboost 19 Shoes - White | adidas US,adidas,"['Running', 'Training']",W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
G54014,https://www.adidas.com/us/ultraboost-19-shoes/G54014.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/eb14b19e738743e6aec4aa33011d69a7_9366/Ultraboost_19_Shoes_Black_G54014_01_standard.jpg",adidas Ultraboost 19 Shoes - Black | adidas US,adidas,"['Running', 'Training']",W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
EE5176,https://www.adidas.com/us/nmd_r1-shoes/EE5176.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1a13e968fb23478f8dddaa9c00fc141a_9366/NMD_R1_Shoes_Pink_EE5176_01_standard.jpg",adidas NMD_R1 Shoes - Pink | adidas US,adidas,['Lifestyle'],W,130,"The NMD is back with a new look inspired by premium technical outerwear. Blending heritage style with modern comfort, the shoes feature a knit upper with translucent overlays that help protect from the elements. Midsole EVA plugs accent the responsive Boost midsole.egular fit Lace closure Knit upper with semi-translucent TPU overlays Textile lining; Rubber outsole Responsive Boost midsole with Molded EVA plugs Soft feel Imported"
G54016,https://www.adidas.com/us/ultraboost-19-shoes/G54016.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/fecdece51dd9402fa6caaa3901600ee7_9366/Ultraboost_19_Shoes_Purple_G54016_01_standard.jpg",adidas Ultraboost 19 Shoes - Purple | adidas US,adidas,['Running'],W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
EF8847,https://www.adidas.com/us/ultraboost-19-shoes/EF8847.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/710b4b28f6524b44bacfaa4a00a3feac_9366/Ultraboost_19_Shoes_Grey_EF8847_01_standard.jpg",adidas Ultraboost 19 Shoes - Grey | adidas US,adidas,"['Running', 'Training']",W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
