商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格,商品介紹
EE5107,https://www.adidas.com/us/nmd_r1-shoes/EE5107.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c730ce6803f7423ab9a3aa7900ebab2b_9366/NMD_R1_Shoes_Black_EE5107_01_standard.jpg",adidas NMD_R1 Shoes - Black | adidas US,adidas,['Lifestyle'],U,130,"Distinctive Boost midsole Dual-color midsole  Signature NMD details Boost is our most responsive cushioning ever Boost midsole features contrast colors Molded EVA midsole plugs for signature NMD aesthetic The NMD_R1 rewrites the rules with a forward-thinking design that's rooted in adidas' best running technologies. These shoes pair a textile upper with a sock-like fit for a light, comfortable feel. Molded EVA inserts complement the responsive Boost midsole.egular fit Lace closure Textile upper Textile lining; Rubber outsole Responsive Boost midsole with Molded EVA plugs Sock-like construction hugs the foot Imported"
EE5082,https://www.adidas.com/us/nmd_r1-shoes/EE5082.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/20d9f4ae7d24416b8d61aaa000e3b5d2_9366/NMD_R1_Shoes_Black_EE5082_01_standard.jpg",adidas NMD_R1 Shoes - Black | adidas US,adidas,['Lifestyle'],M,130,The NMD_R1 fuses progressive design with features inspired by outdoor wear. The shoes have an upper made of a stretchy knit to give them a sock-like fit. Translucent overlays add a technical look. Contrast inserts accent the cushioned midsole to provide all-day comfort.egular fit Lace closure Stretchy knit upper with semi-translucent TPU heel overlays Textile lining; Rubber outsole Responsive Boost midsole with moulded EVA plugs Soft feel Imported
G28581,https://www.adidas.com/us/alphaboost-shoes/G28581.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/d5997cf97dbd497ab14fa9fc0170f82f_9366/Alphaboost_Shoes_White_G28581_01_standard.jpg",adidas Alphaboost Shoes - White | adidas US,adidas,"['Running', 'Training']",M,150,"Designed for athletes looking to step up their game, these running shoes are ideal for explosive drills and speed training. Dual-density cushioning and stability pods pack more support into the midsole for added control during multidirectional moves. A lightweight and breathable upper offers support where you need it most.egular fit Lace closure Air mesh upper; Supportive Forgedmesh upper Textile lining; Continental™ Rubber outsole for extraordinary traction in wet and dry conditions Alphaboost System features dual-density Boost in the midsole and stability pods on the outsole Weight: 10 ounces (size 9) Midsole drop: 10 mm (heel: 20 mm / forefoot: 10 mm) Imported"
EH0252,https://www.adidas.com/us/ozweego/EH0252.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/7679d5026a8749d0a37aaab4011b687a_9366/OZWEEGO_White_EH0252_01_standard.jpg",adidas OZWEEGO - White | adidas US,adidas,['Lifestyle'],U,120,"The Ozweego is new for  Lifestyle on adidas.com. Scroll through the pictures above to see more details from different angles. If you’ve tried out the Ozweego before, leave a review below to let us know what you thought.

We’re still working on getting you more information about the Ozweego on adidas.com so come back soon. In the meantime, here’s the product article number EH0252 for your reference, it's categorized as: Lifestyle Athletic & Sneakersmported"
EE6999,https://www.adidas.com/us/ozweego-shoes/EE6999.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/86dbbccdb3db4f5f846eaa7600ee8b42_9366/OZWEEGO_Shoes_Black_EE6999_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
G27706,https://www.adidas.com/us/continental-80-shoes/G27706.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8df5ab4346d7475ebb08a91500a047d3_9366/Continental_80_Shoes_White_G27706_01_standard.jpg",adidas Continental 80 Shoes - White | adidas US,adidas,['Lifestyle'],U,80,"Vintage nostalgia Classic comfort Split cupsole  A logo window next to the laces recalls '80s styles French terry lining for a soft feel and a throwback look A split rubber cupsole with an EVA insert provides a comfortable, flexible feel Steeped in nostalgia, the Continental 80 captures the retro look of indoor sneakers from the early 1980s. The leather shoes feature a swooping two-tone stripe and a distinctive split rubber cupsole that's built for a comfortable, flexible feel.egular fit Lace closure Full grain leather upper Split rubber cupsole; French terry lining Enjoy the comfort and performance of OrthoLite® sockliner; Lightweight EVA midsole insert Soft feel Imported"
FU7611,https://www.adidas.com/us/pharrell-williams-adilette-2.0-sandals/FU7611.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/dc6c742ae5c24786b62faaa300dd7f9c_9366/Pharrell_Williams_Adilette_2.0_Sandals_Green_FU7611_01_standard.jpg",adidas Pharrell Williams Adilette 2.0 Sandals - Green | adidas US,adidas,"['Lifestyle', 'Swim']",U,90,"Musician and designer Pharrell Williams creates a modern, street-ready version of the iconic Adilette slide. Inspired by outdoor silhouettes, these sandals have a structured mesh upper for a lightweight feel. The padded ankle strap and contoured footbed keep you comfortable.ingle-bandage front with hook-and-loop ankle strap and pad Structured mesh and synthetic upper Textile lining; Synthetic outsole Contoured footbed with Pharrell Williams reflexology-inspired graphic Imported"
FU7613,https://www.adidas.com/us/pharrell-williams-adilette-2.0-sandals/FU7613.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/acf5f13f7ad743cb8857aaa300ddec34_9366/Pharrell_Williams_Adilette_2.0_Sandals_Blue_FU7613_01_standard.jpg",adidas Pharrell Williams Adilette 2.0 Sandals - Blue | adidas US,adidas,"['Lifestyle', 'Swim']",U,90,"Musician and designer Pharrell Williams creates a modern, street-ready version of the iconic Adilette slide. Inspired by outdoor silhouettes, these sandals have a structured mesh upper for a lightweight feel. The padded ankle strap and contoured footbed keep you comfortable.ingle-bandage front with hook-and-loop ankle strap and pad Structured mesh and synthetic upper Textile lining; Synthetic outsole Contoured footbed with Pharrell Williams reflexology-inspired graphic Imported"
FU7612,https://www.adidas.com/us/pharrell-williams-adilette-2.0-sandals/FU7612.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2a7c2a8e467244458bf2aaa300e2b32f_9366/Pharrell_Williams_Adilette_2.0_Sandals_Pink_FU7612_01_standard.jpg",adidas Pharrell Williams Adilette 2.0 Sandals - Pink | adidas US,adidas,"['Lifestyle', 'Swim']",U,90,"Musician and designer Pharrell Williams creates a modern, street-ready version of the iconic Adilette slide. Inspired by outdoor silhouettes, these sandals have a structured mesh upper for a lightweight feel. The padded ankle strap and contoured footbed keep you comfortable.ingle-bandage front with hook-and-loop ankle strap and pad Structured mesh and synthetic upper Textile lining; Synthetic outsole Contoured footbed with Pharrell Williams reflexology-inspired graphic Imported"
S82137,https://www.adidas.com/us/adilette-comfort-slides/S82137.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2a4d6189e3a64c6e9fd5a80801532571_9366/Adilette_Comfort_Slides_Black_S82137_01_standard.jpg",adidas Adilette Comfort Slides - Black | adidas US,adidas,"['Lifestyle', 'Swim']",M,35,Slip into pillowy-soft comfort with these men's slides. They're made with a cloudfoam plus footbed so your feet feel energized after your swim.ingle-bandage molded EVA upper Contoured footbed cloudfoam plus footbed helps recharge your energy with pillow-soft cushioning Injected EVA outsole for lightweight comfort Imported
EF2392,https://www.adidas.com/us/tennis-hu-human-made/EF2392.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/106af5d7b2b8474cb529aaca0115e14b_9366/TENNIS_HU_HUMAN_MADE_White_EF2392_01_standard.jpg",adidas TENNIS HU HUMAN MADE - White | adidas US,adidas,['Lifestyle'],M,130,"The Tennis Hu Human Made is new for  Lifestyle on adidas.com. Scroll through the pictures above to see more details from different angles. If you’ve tried out the Tennis Hu Human Made before, leave a review below to let us know what you thought.

We’re still working on getting you more information about the Tennis Hu Human Made on adidas.com so come back soon. In the meantime, here’s the product article number EF2392 for your reference, it's categorized as: Lifestyle Athletic & Sneakersmported"
EE5343,https://www.adidas.com/us/continental-80-shoes/EE5343.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9e7f4cff6b724432bcc1aa4d010502f5_9366/Continental_80_Shoes_Black_EE5343_01_standard.jpg",adidas Continental 80 Shoes - Black | adidas US,adidas,['Lifestyle'],U,80,"Vintage nostalgia Split cupsole A logo window next to the laces and a swerving stripe recall '80s styles A split rubber cupsole with an EVA insert provides a comfortable, flexible feel The Continental 80 is a reissue of the adidas Continental, a streetwear staple designed during the '80s fitness craze. These shoes are made of extra-soft leather. A rubber cupsole split between the forefoot and heel and flexible EVA cushioning create a distinctive look that's fully retro.egular fit; True to size Lace closure Leather upper Split rubber cupsole; Textile lining Enjoy the comfort and performance of OrthoLite® sockliner; Lightweight EVA midsole insert Soft and smooth feel Imported"
EF1339,https://www.adidas.com/us/ultraboost-19-shoes/EF1339.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2c33fff28f6c482da115aa54011ff46f_9366/Ultraboost_19_Shoes_Black_EF1339_01_standard.jpg",adidas Ultraboost 19 Shoes - Black | adidas US,adidas,['Running'],M,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 11 ounces (size 9) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
EE4440,https://www.adidas.com/us/swift-run-shoes/EE4440.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6556f5592bc24944b4b4aa4000a28094_9366/Swift_Run_Shoes_Turquoise_EE4440_01_standard.jpg",adidas Swift Run Shoes - Turquoise | adidas US,adidas,['Lifestyle'],M,85,"Inspired by adidas heritage running designs, the Swift offers a sleek look and comfortable cushioning. These soft knit shoes stand out with a seasonal pattern inspired by jazz music. They're detailed with smooth welded 3-Stripes and cushioned with a lightweight EVA midsole.ace closure Knit upper Rubber outsole; Textile lining Lightweight EVA midsole True to size Imported"
G54003,https://www.adidas.com/us/ultraboost-shoes/G54003.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/e6e723d116a04e2cb787aa390157dd98_9366/Ultraboost_Shoes_Grey_G54003_01_standard.jpg",adidas Ultraboost Shoes - Grey | adidas US,adidas,['Running'],M,180,"Built for comfort and performance. These men's running shoes have a breathable knit upper with ventilation in key sweat zones to help keep feet cool and dry. A flexible outsole moves in harmony with responsive cushioning for a smooth, energy-filled ride.egular fit Lace closure adidas Primeknit textile upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride; Continental™ Rubber gives you superior traction Responsive Boost midsole Weight: 11 ounces (size 9) Midsole drop: 10 mm (heel: 29 mm, forefoot: 19 mm) Arch type: Normal; Fitcounter molded heel counter provides a natural fit that allows optimal movement of the Achilles Imported"
EE5785,https://www.adidas.com/us/stan-smith-recon-shoes/EE5785.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1fec564b75f447dbbe09aa3a01065523_9366/Stan_Smith_Recon_Shoes_White_EE5785_01_standard.jpg",adidas Stan Smith Recon Shoes - White | adidas US,adidas,['Lifestyle'],M,150,"Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its simple style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. A printed square at the heel gives them a bold, graphic look.egular fit Lace closure Leather upper Rubber outsole; Leather lining Imported"
EF3534,https://www.adidas.com/us/continental-vulc-shoes/EF3534.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/35b87f8f90384ab98c58aa8700c484a5_9366/Continental_Vulc_Shoes_White_EF3534_01_standard.jpg",adidas Continental Vulc Shoes - White | adidas US,adidas,['Lifestyle'],U,70,Lace up '80 fitness style. These low-profile shoes feature a pop of color on the tongue and heel cap for a throwback look. A mix of nubuck and smooth leather on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.ace closure Leather upper with abrasion-resistant suede toe cap Textile lining; Vulcanized rubber outsole Imported
EE5507,https://www.adidas.com/us/gazelle-shoes/EE5507.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a71591c4155a4262932aaa780106e429_9366/Gazelle_Shoes_Yellow_EE5507_01_standard.jpg",adidas Gazelle Shoes - Yellow | adidas US,adidas,['Lifestyle'],U,80,"These shoes are a faithful reissue of the classic 1991 Gazelle. Authentic details like an ultra-soft suede upper, contrasting 3-Stripes and a T-shape toe recall early-'90s style. A metallic-gold logo completes the look.egular fit Lace closure Suede upper Textile lining; Rubber outsole Imported"
EE6465,https://www.adidas.com/us/ozweego-shoes/EE6465.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/31275e6301c14640818aaa480090eafd_9366/OZWEEGO_Shoes_Orange_EE6465_01_standard.jpg",adidas OZWEEGO Shoes - Orange | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
CG5675,https://www.adidas.com/us/forest-grove-shoes/CG5675.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f174604e6b59478ab116a984011654aa_9366/Forest_Grove_Shoes_Blue_CG5675_01_standard.jpg",adidas Forest Grove Shoes - Blue | adidas US,adidas,['Lifestyle'],M,80,"Once a favorite shoe for marathon training, the 1984 Oregon offered shock-absorbing cushioning with a web-wrapped midsole. These shoes bring back the original in an ultra-soft nubuck upper that comes with '80s-style mesh overlays. The iconic midsole design adds authentic Oregon style.egular fit Lace closure Pigskin nubuck and mesh upper Rubber outsole Lightweight EVA midsole; Enjoy the comfort and performance of OrthoLite® sockliner Soft feel Imported"
EE6095,https://www.adidas.com/us/sabalo-shoes/EE6095.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1286b1762be940478eccaa08016dabe4_9366/Sabalo_Shoes_White_EE6095_01_standard.jpg",adidas Sabalo Shoes - White | adidas US,adidas,['Lifestyle'],U,70,The design details of these shoes draw inspiration from the fisheye lens that's been used to capture some of skateboarding's most iconic moments. They feature a cushioned sockliner for all-day comfort and a durable canvas upper to hold up to regular park or street sessions. A vulcanized rubber outsole with a grippy tread pattern keeps you stuck to your board.egular fit Lace closure Canvas upper Vulcanized rubber outsole; Textile lining Cushioned sockliner Imported
EE7745,https://www.adidas.com/us/eqt-gazelle-shoes/EE7745.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8929094e9c4b40ba9d4daa790100d7dc_9366/EQT_Gazelle_Shoes_Black_EE7745_01_standard.jpg",adidas EQT Gazelle Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage design cues True to the archives Lightweight cushioning Inspired by the 1999 Equipment Gazelle, one of adidas' most famous running shoes Overlay details are authentic to the 1999 design EVA midsole offers all-day comfort Based on one of adidas' most famous running shoes, the 1999 Equipment Gazelle. This updated version fuses the archive design with modern details. The mesh and textile upper features textured leather overlays for an authentic '90s and early-'00s look.egular fit Lace closure Mesh and textile upper with leather overlays Textile lining; Rubber outsole Lightweight EVA midsole Imported"
EF9624,https://www.adidas.com/us/zx-4000-4d-shoes/EF9624.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a965af006f594e4e94afaa9500ec6643_9366/ZX_4000_4D_Shoes_Grey_EF9624_01_standard.jpg",adidas ZX 4000 4D Shoes - Grey | adidas US,adidas,['Lifestyle'],M,350,"Engineered fit Controlled energy return adidas Primeknit upper wraps the foot with an engineered fit for targeted support that enhances movement Digitally printed adidas 4D midsole is precision crafted with light, oxygen and liquid resin for controlled energy return In the '80s, the science of sport and wearable technology were new concepts. The ZX running series adopted these ideas with a visibly technical design that became a hallmark of its style. In this version, an adidas Primeknit upper offers lightweight support. Staying true to the original innovative ZX spirit, the shoes feature a digitally printed midsole.egular fit Lace closure adidas Primeknit textile upper Textile lining; Rubber outsole adidas 4D midsole; Stabilizing Torsion System Supportive feel Imported"
EE7004,https://www.adidas.com/us/ozweego-shoes/EE7004.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9d233af0a79646d5a23caa3e00b72f52_9366/OZWEEGO_Shoes_Black_EE7004_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact The OZWEEGO recasts elements from innovative '90s and early-'00s running designs that offered superior shock absorption. These shoes are made for today's streets in a mix of mesh, suede and smooth TPU. They feature targeted support in the forefoot and heel to deliver a supremely comfortable ride.ypically fits a half size small: Choose half size up from your regular size Lace closure Mesh, suede and TPU upper Rubber outsole; Textile lining Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning True to size; Soft and lightweight Imported"
EE5696,https://www.adidas.com/us/ozweego-shoes/EE5696.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/d20e455b7c734cf98be6aa4700dc7fa4_9366/OZWEEGO_Shoes_Black_EE5696_01_standard.jpg",adidas OZWEEGO Shoes - Black | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning  Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Hugs the foot; Soft and lightweight Imported"
